INFO: 2023-09-12 22:36:48,704 | FILE: main.py:96 | MESSAGE: working...
INFO: 2023-09-12 22:36:48,704 | FILE: main.py:31 | MESSAGE: No order file found, creating new file
INFO: 2023-09-12 22:37:22,403 | FILE: main.py:96 | MESSAGE: working...
INFO: 2023-09-12 22:37:22,403 | FILE: main.py:31 | MESSAGE: No order file found, creating new file
INFO: 2023-09-12 22:37:23,016 | FILE: main.py:63 | MESSAGE: PLACING TEST ORDER
INFO: 2023-09-12 22:37:23,017 | FILE: main.py:77 | MESSAGE: Order created with 0 on BTC at 2023-09-12 22:37:23.017582
INFO: 2023-09-12 22:37:23,785 | FILE: main.py:63 | MESSAGE: PLACING TEST ORDER
INFO: 2023-09-12 22:37:23,786 | FILE: main.py:77 | MESSAGE: Order created with 0 on ETH at 2023-09-12 22:37:23.786228
INFO: 2023-09-12 22:37:24,300 | FILE: main.py:63 | MESSAGE: PLACING TEST ORDER
INFO: 2023-09-12 22:37:24,301 | FILE: main.py:77 | MESSAGE: Order created with 3 on DOT at 2023-09-12 22:37:24.301598
INFO: 2023-09-12 22:37:25,524 | FILE: main.py:63 | MESSAGE: PLACING TEST ORDER
INFO: 2023-09-12 22:37:25,524 | FILE: main.py:77 | MESSAGE: Order created with 0 on SOL at 2023-09-12 22:37:25.524132
INFO: 2023-09-12 22:37:26,964 | FILE: main.py:63 | MESSAGE: PLACING TEST ORDER
INFO: 2023-09-12 22:37:26,964 | FILE: main.py:77 | MESSAGE: Order created with 121 on XLM at 2023-09-12 22:37:26.964599
INFO: 2023-09-12 22:37:26,965 | FILE: main.py:81 | MESSAGE: DCA complete, bought ['BTC', 'ETH', 'DOT', 'SOL', 'XLM']. Waiting 7 days.
ERROR: 2023-09-12 22:37:30,923 | FILE: email_service.py:25 | MESSAGE: (534, b'5.7.9 Application-specific password required. Learn more at\n5.7.9  https://support.google.com/mail/?p=InvalidSecondFactor m9-20020a170902768900b001c0a414695dsm8631105pll.62 - gsmtp')
INFO: 2023-09-12 22:41:54,952 | FILE: main.py:96 | MESSAGE: working...
INFO: 2023-09-12 22:41:55,456 | FILE: main.py:63 | MESSAGE: PLACING TEST ORDER
INFO: 2023-09-12 22:41:55,456 | FILE: main.py:77 | MESSAGE: Order created with 0 on BTC at 2023-09-12 22:41:55.456429
INFO: 2023-09-12 22:41:56,377 | FILE: main.py:63 | MESSAGE: PLACING TEST ORDER
INFO: 2023-09-12 22:41:56,377 | FILE: main.py:77 | MESSAGE: Order created with 0 on ETH at 2023-09-12 22:41:56.377611
INFO: 2023-09-12 22:41:58,877 | FILE: main.py:63 | MESSAGE: PLACING TEST ORDER
INFO: 2023-09-12 22:41:58,877 | FILE: main.py:77 | MESSAGE: Order created with 3 on DOT at 2023-09-12 22:41:58.877392
INFO: 2023-09-12 22:41:59,399 | FILE: main.py:63 | MESSAGE: PLACING TEST ORDER
INFO: 2023-09-12 22:41:59,399 | FILE: main.py:77 | MESSAGE: Order created with 0 on SOL at 2023-09-12 22:41:59.399071
INFO: 2023-09-12 22:42:00,962 | FILE: main.py:63 | MESSAGE: PLACING TEST ORDER
INFO: 2023-09-12 22:42:00,962 | FILE: main.py:77 | MESSAGE: Order created with 121 on XLM at 2023-09-12 22:42:00.962823
INFO: 2023-09-12 22:42:00,964 | FILE: main.py:81 | MESSAGE: DCA complete, bought ['BTC', 'ETH', 'DOT', 'SOL', 'XLM']. Waiting 7 days.
ERROR: 2023-09-12 22:42:03,707 | FILE: email_service.py:25 | MESSAGE: (534, b'5.7.9 Application-specific password required. Learn more at\n5.7.9  https://support.google.com/mail/?p=InvalidSecondFactor p13-20020a63ab0d000000b0057749dc8d3asm5519853pgf.47 - gsmtp')
INFO: 2023-09-14 07:45:30,173 | FILE: main.py:96 | MESSAGE: working...
INFO: 2023-09-14 07:45:30,808 | FILE: main.py:63 | MESSAGE: PLACING TEST ORDER
INFO: 2023-09-14 07:45:30,808 | FILE: main.py:77 | MESSAGE: Order created with 0 on BTC at 2023-09-14 07:45:30.808868
INFO: 2023-09-14 07:45:31,262 | FILE: main.py:63 | MESSAGE: PLACING TEST ORDER
INFO: 2023-09-14 07:45:31,262 | FILE: main.py:77 | MESSAGE: Order created with 0 on ETH at 2023-09-14 07:45:31.262056
INFO: 2023-09-14 07:45:32,257 | FILE: main.py:63 | MESSAGE: PLACING TEST ORDER
INFO: 2023-09-14 07:45:32,257 | FILE: main.py:77 | MESSAGE: Order created with 3 on DOT at 2023-09-14 07:45:32.257808
INFO: 2023-09-14 07:45:33,290 | FILE: main.py:63 | MESSAGE: PLACING TEST ORDER
INFO: 2023-09-14 07:45:33,290 | FILE: main.py:77 | MESSAGE: Order created with 0 on SOL at 2023-09-14 07:45:33.290459
INFO: 2023-09-14 07:45:34,009 | FILE: main.py:63 | MESSAGE: PLACING TEST ORDER
INFO: 2023-09-14 07:45:34,009 | FILE: main.py:77 | MESSAGE: Order created with 125 on XLM at 2023-09-14 07:45:34.009509
INFO: 2023-09-14 07:45:34,011 | FILE: main.py:81 | MESSAGE: DCA complete, bought ['BTC', 'ETH', 'DOT', 'SOL', 'XLM']. Waiting 7 days.
ERROR: 2023-09-14 07:45:37,026 | FILE: email_service.py:25 | MESSAGE: (535, b'5.7.8 Username and Password not accepted. Learn more at\n5.7.8  https://support.google.com/mail/?p=BadCredentials jf3-20020a170903268300b001b83dc8649dsm283689plb.250 - gsmtp')
INFO: 2023-09-14 09:18:02,916 | FILE: main.py:96 | MESSAGE: working...
INFO: 2023-09-14 09:18:03,825 | FILE: main.py:63 | MESSAGE: PLACING TEST ORDER
INFO: 2023-09-14 09:18:03,825 | FILE: main.py:77 | MESSAGE: Order created with 0 on BTC at 2023-09-14 09:18:03.825941
INFO: 2023-09-14 09:18:04,568 | FILE: main.py:63 | MESSAGE: PLACING TEST ORDER
INFO: 2023-09-14 09:18:04,568 | FILE: main.py:77 | MESSAGE: Order created with 0 on ETH at 2023-09-14 09:18:04.568650
INFO: 2023-09-14 09:18:05,828 | FILE: main.py:63 | MESSAGE: PLACING TEST ORDER
INFO: 2023-09-14 09:18:05,828 | FILE: main.py:77 | MESSAGE: Order created with 3 on DOT at 2023-09-14 09:18:05.828082
INFO: 2023-09-14 09:18:06,302 | FILE: main.py:63 | MESSAGE: PLACING TEST ORDER
INFO: 2023-09-14 09:18:06,302 | FILE: main.py:77 | MESSAGE: Order created with 0 on SOL at 2023-09-14 09:18:06.302632
INFO: 2023-09-14 09:18:07,567 | FILE: main.py:63 | MESSAGE: PLACING TEST ORDER
INFO: 2023-09-14 09:18:07,567 | FILE: main.py:77 | MESSAGE: Order created with 125 on XLM at 2023-09-14 09:18:07.567183
INFO: 2023-09-14 09:18:07,575 | FILE: main.py:81 | MESSAGE: DCA complete, bought ['BTC', 'ETH', 'DOT', 'SOL', 'XLM']. Waiting 7 days.
ERROR: 2023-09-14 09:18:10,586 | FILE: email_service.py:25 | MESSAGE: (535, b'5.7.8 Username and Password not accepted. Learn more at\n5.7.8  https://support.google.com/mail/?p=BadCredentials i15-20020a17090332cf00b001ac7f583f72sm378564plr.209 - gsmtp')
INFO: 2023-09-14 09:20:29,719 | FILE: main.py:96 | MESSAGE: working...
INFO: 2023-09-14 09:20:31,011 | FILE: main.py:63 | MESSAGE: PLACING TEST ORDER
INFO: 2023-09-14 09:20:31,011 | FILE: main.py:77 | MESSAGE: Order created with 0 on BTC at 2023-09-14 09:20:31.011883
INFO: 2023-09-14 09:20:32,008 | FILE: main.py:63 | MESSAGE: PLACING TEST ORDER
INFO: 2023-09-14 09:20:32,008 | FILE: main.py:77 | MESSAGE: Order created with 0 on ETH at 2023-09-14 09:20:32.008279
INFO: 2023-09-14 09:20:33,017 | FILE: main.py:63 | MESSAGE: PLACING TEST ORDER
INFO: 2023-09-14 09:20:33,017 | FILE: main.py:77 | MESSAGE: Order created with 3 on DOT at 2023-09-14 09:20:33.017443
INFO: 2023-09-14 09:20:34,321 | FILE: main.py:63 | MESSAGE: PLACING TEST ORDER
INFO: 2023-09-14 09:20:34,321 | FILE: main.py:77 | MESSAGE: Order created with 0 on SOL at 2023-09-14 09:20:34.321125
INFO: 2023-09-14 09:20:35,607 | FILE: main.py:63 | MESSAGE: PLACING TEST ORDER
INFO: 2023-09-14 09:20:35,607 | FILE: main.py:77 | MESSAGE: Order created with 125 on XLM at 2023-09-14 09:20:35.607835
INFO: 2023-09-14 09:20:35,607 | FILE: main.py:81 | MESSAGE: DCA complete, bought ['BTC', 'ETH', 'DOT', 'SOL', 'XLM']. Waiting 7 days.
